HT_ADDR,P_and_L_AADT,Age,AA_Temp,Shoulder_width,No_shoulder,mountain,bridge,single_lane,double_lane,urban,express,cost/km
591.4,2129.9,5.0,31.803399752328414,5.095477122047127,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1204817.614686698
1358.6000000000001,3155.3,14.0,36.089903474362345,4.999114613345993,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6586670.67484496
651.4000000000001,4666.2,29.0,41.28182132013832,4.218110611637922,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2830372.0737762246
1835.6000000000001,3884.3,2.0,25.360091462893923,4.1734727388154065,1.0,1.0,0.0,0.0,0.0,0.0,1.0,5601189.47024331
1068.4,449.70000000000005,28.0,17.210386159585664,3.5170869268688194,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5119326.305062107
517.6,3615.1000000000004,17.0,33.8917726543489,4.459367190234927,0.0,1.0,0.0,1.0,0.0,0.0,0.0,119542.78138853678
1289.4,4079.8,22.0,26.775546565384616,7.558701949578006,0.0,1.0,0.0,1.0,0.0,0.0,0.0,195211.65997065787
1649.2,1324.4,4.0,23.435916671319635,7.5563591071042255,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1207303.1487045097
142.20000000000002,1045.5,23.0,35.134031145759224,6.044058753789825,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1209316.777646661
1227.8,1844.7,19.0,39.697356804886056,4.594180316017401,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1473733.9655547652
312.20000000000005,1481.3000000000002,13.0,28.978736703440596,4.5863042638305505,1.0,0.0,1.0,1.0,0.0,0.0,0.0,108828.99801091297
1768.8000000000002,3503.8,11.0,27.934172906766634,7.911763731712201,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3381519.1384094013
684.2,104.9,2.0,27.234385522097938,7.383574299244012,1.0,1.0,1.0,1.0,0.0,0.0,0.0,100866.99601014335
763.8000000000001,3195.0,0.0,17.00015704135382,2.572756213917247,1.0,0.0,1.0,1.0,0.0,0.0,0.0,100000.0
139.0,3954.9,10.0,23.007121566269113,4.318709741675011,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2511756.661789097
643.8000000000001,2044.2,29.0,31.530365592754844,3.893424852039548,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5686563.6952646645
1549.6000000000001,4804.3,19.0,28.314158705021704,6.832219872325993,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2579707.148739915
598.6,254.9,0.0,37.05929140725331,7.7301422183974395,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2500000.0
1414.2,3763.7000000000003,3.0,31.176771426122258,6.255756776729497,0.0,0.0,0.0,1.0,0.0,0.0,0.0,104657.13631271536
1894.6000000000001,2567.0,26.0,15.803507402968007,5.273561683383075,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2583444.4000060027
1514.4,3050.8,20.0,16.38801632971954,2.6367029670692186,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2733605.910284722
920.0,362.70000000000005,2.0,15.28763944765723,6.965092983977818,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5010413.108801282
1140.8,1215.0,24.0,19.307145983358055,3.132269535263631,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1209495.9268168123
1290.4,2183.9,8.0,21.10802778928109,5.351256148157585,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5137278.865759221
1971.6000000000001,1656.4,6.0,26.688541779230803,5.263057431668977,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1235314.7257521134
1035.6000000000001,2105.4,22.0,24.699968812930297,4.134376389369764,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2605432.176511798
1918.2,349.1,16.0,14.430400315659043,6.340220797604799,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5143646.205064191
1814.4,2318.9,3.0,16.824969619393492,4.266508894287764,1.0,1.0,0.0,0.0,0.0,0.0,1.0,5360915.40195114
881.8000000000001,3889.0,13.0,17.469150807372493,5.907807316040303,1.0,0.0,1.0,1.0,0.0,0.0,0.0,150839.2738942933
860.8000000000001,4000.9,13.0,29.857973263416927,3.1938508361670968,0.0,1.0,0.0,1.0,0.0,0.0,0.0,117355.35942684583
977.6,567.2,18.0,35.35019066548359,7.633626301914723,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1212713.223917181
